,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE41762_GSM1023708,7.422912583,7.607553016,8.468845823,4.133328955,13.78200318,10.11792636,3.553634078,6.732194483,5.792686165,5.674433505,8.212290577,7.501985895,7.938697133,12.34864871
GSE41762_GSM1023709,8.847941766,9.576408136,8.244327772,4.053295086,14.09104351,10.34623589,3.981676709,6.874649172,7.699696877,7.243243274,9.1487657,8.084247003,8.540577995,12.62614684
GSE41762_GSM1023710,7.711260502,8.801215822,8.465153529,4.191324511,12.94669951,10.08665374,4.270035781,6.76716259,7.45752872,7.796033714,8.495249187,7.52322121,8.363799624,12.21728808
GSE41762_GSM1023711,7.478006436,7.960298669,7.823237272,3.798856561,12.89070264,9.493830774,3.851811015,6.53511423,6.286834296,6.840826194,8.047822536,7.402715473,7.880830723,11.99514668
GSE41762_GSM1023712,8.133906549,7.606788005,7.507920148,4.111896723,13.27626715,9.344801219,3.760728215,6.74205011,7.382425319,5.444395884,8.184729467,7.494793821,8.379344326,11.61599646
GSE41762_GSM1023713,6.793823786,7.610924731,8.190825701,4.254356799,11.49756491,9.244059007,3.642506695,6.246363739,6.43744178,7.129424435,7.984147599,7.384977222,7.525839856,11.51160572
GSE41762_GSM1023714,6.688521845,7.057396732,8.321335038,3.76278437,11.73484737,8.974128028,3.56966372,6.442981337,6.065140001,6.611304263,7.46836263,6.847979995,7.174308939,11.33308053
GSE41762_GSM1023715,6.859457715,7.625289939,7.916461674,3.600271415,13.39956748,9.794657467,3.385171611,6.380286211,5.767804804,6.620170172,8.343488647,7.386967689,7.648302027,12.06288694
GSE41762_GSM1023716,7.690959877,6.903686177,7.694248291,4.197364409,13.69230097,9.101964566,3.958039385,6.522568749,5.472824835,4.655825808,7.518040288,7.350644414,7.709979396,11.57630965
GSE41762_GSM1023717,5.360219813,6.650391961,7.564004412,4.033148161,12.39022028,7.774504189,3.547317608,6.608235232,5.371159163,4.773948678,6.621791487,7.118034692,6.749166332,10.6323754
